source_player_id,source_player_name,source_team,source_position,source_minutes,source_rating,target_player_id,target_player_name,target_team,target_position,target_minutes,target_rating,overall_similarity,overall_similarity_pct,overall_feature_count,goalkeeping_similarity,goalkeeping_similarity_pct,goalkeeping_feature_count,distribution_similarity,distribution_similarity_pct,distribution_feature_count,sweeping_similarity,sweeping_similarity_pct,sweeping_feature_count,errors_similarity,errors_similarity_pct,errors_feature_count,overall_quality_similarity,overall_quality_similarity_pct,overall_quality_feature_count,defending_similarity,defending_similarity_pct,defending_feature_count,duels_similarity,duels_similarity_pct,duels_feature_count,passing_similarity,passing_similarity_pct,passing_feature_count,progression_similarity,progression_similarity_pct,progression_feature_count,security_similarity,security_similarity_pct,security_feature_count,scoring_similarity,scoring_similarity_pct,scoring_feature_count,creativity_similarity,creativity_similarity_pct,creativity_feature_count,carrying_dribbling_similarity,carrying_dribbling_similarity_pct,carrying_dribbling_feature_count,defensive_work_similarity,defensive_work_similarity_pct,defensive_work_feature_count,ball_security_similarity,ball_security_similarity_pct,ball_security_feature_count,dribbling_similarity,dribbling_similarity_pct,dribbling_feature_count,involvement_similarity,involvement_similarity_pct,involvement_feature_count
863653,Aaron Wan-Bissaka,DR Congo,D,355.0,7.001408450704226,874568,Juan Sanabria,Uruguay,D,205.0,6.602439024390244,0.49302765193106624,49.3,22,,,,,,,,,,,,,0.0,0.0,1,0.28801352311608497,28.8,7.0,0.8677159738123346,86.77,4.0,0.29672850590378314,29.67,4.0,0.9044861554992712,90.45,3.0,0.9821117573815416,98.21,3.0,,,,,,,,,,,,,,,,,,,,,
863653,Aaron Wan-Bissaka,DR Congo,D,355.0,7.001408450704226,142148,Sead Kolašinac,Bosnia & Herzegovina,D,339.0,6.616814159292035,0.4764635238497343,47.65,22,,,,,,,,,,,,,0.0,0.0,1,0.0,0.0,7.0,0.3977963510397013,39.78,4.0,0.950096255424778,95.01,4.0,0.9966681904102905,99.67,3.0,0.15289040741807342,15.29,3.0,,,,,,,,,,,,,,,,,,,,,
863653,Aaron Wan-Bissaka,DR Congo,D,355.0,7.001408450704226,355486,Stefan Posch,Austria,D,333.0,5.724024024024024,0.4532551177395867,45.33,22,,,,,,,,,,,,,0.0,0.0,1,0.5284699000255351,52.85,7.0,0.0,0.0,4.0,0.8718013061866045,87.18,4.0,0.9089379379858774,90.89,3.0,0.9808846808134957,98.09,3.0,,,,,,,,,,,,,,,,,,,,,
863653,Aaron Wan-Bissaka,DR Congo,D,355.0,7.001408450704226,919027,Ali Abdi,Tunisia,D,269.0,5.998513011152416,0.4526788980907808,45.27,22,,,,,,,,,,,,,0.0,0.0,1,0.30815404367036575,30.82,7.0,0.28090070995266037,28.09,4.0,0.9001450351564487,90.01,4.0,0.9114174419567435,91.14,3.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,
863653,Aaron Wan-Bissaka,DR Congo,D,355.0,7.001408450704226,884189,Pedro Miguel,Qatar,D,270.0,6.7,0.4486662215557998,44.87,22,,,,,,,,,,,,,0.0,0.0,1,0.13112610032715763,13.11,7.0,0.9173705290468239,91.74,4.0,0.6410263970023835,64.1,4.0,0.7684662196112662,76.85,3.0,0.09522719941119191,9.52,3.0,,,,,,,,,,,,,,,,,,,,,
863653,Aaron Wan-Bissaka,DR Congo,D,355.0,7.001408450704226,822933,Gonzalo Montiel,Argentina,D,189.0,6.650793650793651,0.44789585526578657,44.79,22,,,,,,,,,,,,,0.0,0.0,1,0.21996762360790004,22.0,7.0,0.502558936529309,50.26,4.0,0.9132991187400107,91.33,4.0,0.9242356007207434,92.42,3.0,0.9971080386112013,99.71,3.0,,,,,,,,,,,,,,,,,,,,,
863653,Aaron Wan-Bissaka,DR Congo,D,355.0,7.001408450704226,826202,Yan Valery,Tunisia,D,252.0,6.035714285714286,0.4317029228490554,43.17,22,,,,,,,,,,,,,0.0,0.0,1,0.1521366741258862,15.21,7.0,0.1307648838717117,13.08,4.0,0.9410574284808092,94.11,4.0,0.9738918657453777,97.39,3.0,0.3488126969640545,34.88,3.0,,,,,,,,,,,,,,,,,,,,,
863653,Aaron Wan-Bissaka,DR Congo,D,355.0,7.001408450704226,831799,Nahuel Molina,Argentina,D,531.0,6.407344632768362,0.4263620440642448,42.64,22,,,,,,,,,,,,,0.0,0.0,1,0.24515946897374277,24.52,7.0,0.7824158956349463,78.24,4.0,0.5543493101139512,55.43,4.0,0.8635168057560475,86.35,3.0,0.833049347199363,83.3,3.0,,,,,,,,,,,,,,,,,,,,,
863653,Aaron Wan-Bissaka,DR Congo,D,355.0,7.001408450704226,138024,Vladimír Coufal,Czechia,D,270.0,6.666666666666667,0.41061464207789083,41.06,22,,,,,,,,,,,,,0.0,0.0,1,0.0,0.0,7.0,0.08357770607313203,8.36,4.0,0.9039120555776876,90.39,4.0,0.9916617917116537,99.17,3.0,0.951686165616929,95.17,3.0,,,,,,,,,,,,,,,,,,,,,
863653,Aaron Wan-Bissaka,DR Congo,D,355.0,7.001408450704226,243583,Douglas Santos,Brazil,D,442.0,6.966515837104072,0.41003371621810253,41.0,22,,,,,,,,,,,,,1.0,100.0,1,0.29969310744717886,29.97,7.0,0.9669899316622962,96.7,4.0,0.23929270303905967,23.93,4.0,0.9438727616019491,94.39,3.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,
