event_id,date_utc,round_number,round_name,status,home_team_id,home_team_name,away_team_id,away_team_name,team_side,team_id,team_name,opponent_team_id,opponent_team_name,player_id,player_name,player_short_name,player_slug,sofascore_id,position,jersey_number,average_x,average_y,points_count,normalized_x,normalized_y,longitudinal_zone,lateral_lane,broad_side,source_url
15186710,2026-06-11T19:00:00+00:00,1,,finished,4781,Mexico,4736,South Africa,home,4781,Mexico,4736,South Africa,818406,César Montes,C. Montes,cesar-montes,f58m2b,D,23,33.424096385542,40.995180722892,83,33.424096385542,40.995180722892,middle_third,central_lane,central,https://www.sofascore.com/api/v1/event/15186710/average-positions
15186710,2026-06-11T19:00:00+00:00,1,,finished,4781,Mexico,4736,South Africa,home,4781,Mexico,4736,South Africa,944068,Erik Lira,E. Lira,erik-lira,q47ue5,D,6,40.642307692308,52.094230769231,52,40.642307692308,52.094230769231,middle_third,central_lane,central,https://www.sofascore.com/api/v1/event/15186710/average-positions
15186710,2026-06-11T19:00:00+00:00,1,,finished,4781,Mexico,4736,South Africa,home,4781,Mexico,4736,South Africa,989236,Israel Reyes,I. Reyes,israel-reyes,g8wmny,D,3,43.445901639344,19.239344262295,61,43.445901639344,19.239344262295,middle_third,right_wide,right,https://www.sofascore.com/api/v1/event/15186710/average-positions
15186710,2026-06-11T19:00:00+00:00,1,,finished,4781,Mexico,4736,South Africa,home,4781,Mexico,4736,South Africa,770253,Jesús Gallardo,J. Gallardo,jesus-gallardo,wcgqik,D,20,46.559259259259,89.723456790123,81,46.559259259259,89.723456790123,middle_third,left_wide,left,https://www.sofascore.com/api/v1/event/15186710/average-positions
15186710,2026-06-11T19:00:00+00:00,1,,finished,4781,Mexico,4736,South Africa,home,4781,Mexico,4736,South Africa,889785,Johan Vásquez,J. Vásquez,johan-vasquez,bf5znq,D,22,35.810526315789,70.852631578947,95,35.810526315789,70.852631578947,middle_third,left_half_space,left,https://www.sofascore.com/api/v1/event/15186710/average-positions
15186710,2026-06-11T19:00:00+00:00,1,,finished,4781,Mexico,4736,South Africa,home,4781,Mexico,4736,South Africa,1595162,Armando González,A. González,armando-gonzalez,tdriu3,F,34,71.52,45.14,5,71.52,45.14,attacking_third,central_lane,central,https://www.sofascore.com/api/v1/event/15186710/average-positions
15186710,2026-06-11T19:00:00+00:00,1,,finished,4781,Mexico,4736,South Africa,home,4781,Mexico,4736,South Africa,843114,Julián Quiñones,J. Quiñones,julian-quinones,julianquinones33,F,33,58.478947368421,73.429824561404,57,58.478947368421,73.429824561404,middle_third,left_half_space,left,https://www.sofascore.com/api/v1/event/15186710/average-positions
15186710,2026-06-11T19:00:00+00:00,1,,finished,4781,Mexico,4736,South Africa,home,4781,Mexico,4736,South Africa,192442,Raúl Jiménez,R. Jiménez,raul-jimenez,RJimenez9,F,7,66.80243902439,58.521951219512,41,66.80243902439,58.521951219512,attacking_third,central_lane,central,https://www.sofascore.com/api/v1/event/15186710/average-positions
15186710,2026-06-11T19:00:00+00:00,1,,finished,4781,Mexico,4736,South Africa,home,4781,Mexico,4736,South Africa,865500,Roberto Alvarado,R. Alvarado,roberto-alvarado,h6if3c,F,25,57.81935483871,20.358064516129,62,57.81935483871,20.358064516129,middle_third,right_half_space,right,https://www.sofascore.com/api/v1/event/15186710/average-positions
15186710,2026-06-11T19:00:00+00:00,1,,finished,4781,Mexico,4736,South Africa,home,4781,Mexico,4736,South Africa,990408,Raúl Rangel,R. Rangel,jose-rangel,ekj3p4,G,1,7.9083333333333,49.666666666667,48,7.9083333333333,49.666666666667,defensive_third,central_lane,central,https://www.sofascore.com/api/v1/event/15186710/average-positions
15186710,2026-06-11T19:00:00+00:00,1,,finished,4781,Mexico,4736,South Africa,home,4781,Mexico,4736,South Africa,815637,Alexis Vega,A. Vega,alexis-vega,cyu7yg,M,9,63.0,80.786666666667,15,63.0,80.786666666667,middle_third,left_wide,left,https://www.sofascore.com/api/v1/event/15186710/average-positions
15186710,2026-06-11T19:00:00+00:00,1,,finished,4781,Mexico,4736,South Africa,home,4781,Mexico,4736,South Africa,1023088,Brian Gutiérrez,B. Gutiérrez,brian-gutierrez,sntphj,M,11,59.87619047619,44.769047619048,42,59.87619047619,44.769047619048,middle_third,central_lane,central,https://www.sofascore.com/api/v1/event/15186710/average-positions
15186710,2026-06-11T19:00:00+00:00,1,,finished,4781,Mexico,4736,South Africa,home,4781,Mexico,4736,South Africa,847151,Edson Álvarez,E. Álvarez,edson-alvarez,EdsonAlvarez19,M,4,53.395,33.135,20,53.395,33.135,middle_third,right_half_space,right,https://www.sofascore.com/api/v1/event/15186710/average-positions
15186710,2026-06-11T19:00:00+00:00,1,,finished,4781,Mexico,4736,South Africa,home,4781,Mexico,4736,South Africa,1914576,Gilberto Mora,G. Mora,gilberto-mora,sxxbby,M,19,59.654166666667,53.508333333333,24,59.654166666667,53.508333333333,middle_third,central_lane,central,https://www.sofascore.com/api/v1/event/15186710/average-positions
15186710,2026-06-11T19:00:00+00:00,1,,finished,4781,Mexico,4736,South Africa,home,4781,Mexico,4736,South Africa,757770,Luis Chávez,L. Chávez,luis-chavez,caxzrg,M,24,57.005263157895,69.852631578947,38,57.005263157895,69.852631578947,middle_third,left_half_space,left,https://www.sofascore.com/api/v1/event/15186710/average-positions
15186710,2026-06-11T19:00:00+00:00,1,,finished,4781,Mexico,4736,South Africa,home,4781,Mexico,4736,South Africa,838629,Álvaro Fidalgo,Á. Fidalgo,alvaro-fidalgo,zt7rwd,M,15,52.913333333333,67.975555555556,45,52.913333333333,67.975555555556,middle_third,left_half_space,left,https://www.sofascore.com/api/v1/event/15186710/average-positions
