event_id,start_time_utc,start_time_istanbul,round_number,round_name,match_status,home_team_name,away_team_name,home_score,away_score,side,national_team_id,national_team_name,opponent_team_id,opponent_team_name,club_team_id_snapshot,formation,lineup_confirmed,player_id,player_name,player_short_name,player_slug,player_sofascore_id,player_primary_position,lineup_position,shirt_number,jersey_number,is_starter,is_substitute,appearance_type,captain,height_cm,country_alpha3,country_name,date_of_birth_timestamp,date_of_birth_utc,market_value,market_value_currency,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_ratingVersions_original,stat_ratingVersions_alternative,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_statisticsType_sportSlug,stat_statisticsType_statisticsType,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_expectedGoals,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_keyPass,stat_shotValueNormalized,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_aerialLost,stat_duelLost,stat_wasFouled,stat_fouls,stat_totalTackle,stat_unsuccessfulTouch,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_dispossessed,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_wonTackle,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_errorLeadToAShot,stat_errorLeadToAGoal,stat_bigChanceMissed,stat_lastManTackle,stat_clearanceOffLine,stat_ownGoals,stat_penaltyConceded,stat_penaltyFaced,stat_penaltyWon,stat_crossNotClaimed,stat_penaltyMiss,stat_penaltySave,stat_penaltyShootoutSave,stat_penaltyShootoutGoal,stat_penaltyShootoutMiss
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,241802,5-3-2,True,1049669,Jayden Adams,J. Adams,jayden-adams,zb7a2y,M,M,23,23,True,False,starter,False,175.0,ZAF,South Africa,989020800,2001-05-05T00:00:00+00:00,1900000.0,EUR,20.0,16.0,2.0,1.0,0.0,7.0,8.0,9.0,12.0,1.0,,61.0,25.0,6.6,4.0,0.059524,117.52621178356,12.0,29.680595077458,0.0,,6.6,6.7,0.0,,0.17,0.05,-0.04,,football,player,,,,1.0,,,,,28.23,6.3,3.0,,,0.79,0.15,0.02,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,25002,5-3-2,True,1470073,Tholo Thabang Matuludi,T. T. Matuludi,matuludi-tholo-thabang,b7mguu,D,D,2,2,False,True,unused_substitute,False,189.0,ZAF,South Africa,916272000,1999-01-14T00:00:00+00:00,1100000.0,EUR,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,football,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,7665,5-3-2,True,1910804,Khulumani Ndamane,K. Ndamane,khulumani-ndamane,gwwjuy,D,D,3,3,False,True,unused_substitute,False,183.0,ZAF,South Africa,1075939200,2004-02-05T00:00:00+00:00,1300000.0,EUR,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,football,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,7668,5-3-2,True,1014410,Thalente Mbatha,T. Mbatha,thalente-mbatha,cewed6,M,M,5,5,False,True,used_substitute,False,179.0,ZAF,South Africa,952300800,2000-03-06T00:00:00+00:00,2100000.0,EUR,7.0,4.0,,,0.0,3.0,4.0,1.0,3.0,1.0,,34.0,13.0,6.5,4.0,0.00010301,7.906687872257,2.0,0.25973643894682,0.0,,6.5,6.5,0.0,,-0.03,-0.05,-0.05,,football,player,,,,2.0,,,,,33.54,3.76,3.0,,,0.62,0.21,0.04,,1.0,,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,7668,5-3-2,True,984505,Oswin Appollis,O. Appollis,oswin-appollis,b747w6,M,F,7,7,False,True,used_substitute,False,172.0,ZAF,South Africa,998697600,2001-08-25T00:00:00+00:00,2700000.0,EUR,6.0,5.0,1.0,,0.0,3.0,3.0,2.0,3.0,3.0,,13.0,8.0,6.6,1.0,0.00232247,42.337787879419,4.0,20.51232407449,0.0,,6.6,6.6,0.0,,-0.01,0.06,0.15,,football,player,,,,1.0,,,,,29.75,1.87,1.0,,,0.31,0.08,0.03,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,7668,5-3-2,True,1101745,Tshepang Moremi,T. Moremi,tshepang-moremi,kmukqu,M,F,8,8,False,True,unused_substitute,False,169.0,ZAF,South Africa,970444800,2000-10-02T00:00:00+00:00,1400000.0,EUR,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,football,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,4860,5-3-2,True,1564998,Relebohile Mofokeng,R. Mofokeng,relebohile-mofokeng,fpskwx,M,F,10,10,False,True,unused_substitute,False,166.0,ZAF,South Africa,1098489600,2004-10-23T00:00:00+00:00,2900000.0,EUR,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,football,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,7665,5-3-2,True,559504,Themba Zwane,T. Zwane,themba-zwane,shwdy3,M,M,11,11,False,True,used_substitute,False,170.0,ZAF,South Africa,618105600,1989-08-03T00:00:00+00:00,240000.0,EUR,7.0,5.0,,,0.0,4.0,4.0,1.0,3.0,2.0,,23.0,8.0,5.3,3.0,0.00299355,11.120175317273,2.0,3.8965943470555,0.0,,5.3,5.5,0.0,,-0.05,0.01,-0.13,,football,player,,,,,,,,,27.28,1.88,2.0,,,0.26,0.06,0.02,,3.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,7665,5-3-2,True,1179164,Thapelo Maseko,T. Maseko,thapelo-maseko,himdgz,M,F,12,12,False,True,unused_substitute,False,178.0,ZAF,South Africa,1036972800,2002-11-11T00:00:00+00:00,730000.0,EUR,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,football,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,7668,5-3-2,True,903610,Sipho Chaine,S. Chaine,sipho-chaine,tt29r5,G,G,16,16,False,True,unused_substitute,False,180.0,ZAF,South Africa,850521600,1996-12-14T00:00:00+00:00,1500000.0,EUR,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,football,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
