player_id,player_name,national_team_id,national_team_name,squad_entries,appearances,starts,minutes,goals,assists,xg,xa,shots,shots_on_target,passes,accurate_passes,tackles,interceptions,saves,goals_prevented,weighted_rating,pass_accuracy_pct,goals_per_90,assists_per_90,xg_per_90,xa_per_90
122810,Aïssa Mandi,4691,Algeria,4,4,4,360.0,0.0,0.0,0.0,0.04484983,0.0,0.0,390.0,363.0,5.0,4.0,0.0,0.0,6.65,93.08,0.0,0.0,0.0,0.011
577726,Ramy Bensebaini,4691,Algeria,4,4,4,360.0,0.0,0.0,0.0636,0.0914947,2.0,0.0,390.0,361.0,10.0,7.0,0.0,0.0,6.8,92.56,0.0,0.0,0.016,0.023
1192318,Farès Chaïbi,4691,Algeria,4,4,4,360.0,0.0,0.0,0.44320000000000004,0.146775,9.0,3.0,247.0,218.0,5.0,3.0,0.0,0.0,6.5,88.26,0.0,0.0,0.111,0.037
1407524,Ibrahim Maza,4691,Algeria,4,4,4,351.0,0.0,0.0,1.2808000000000002,0.191099,11.0,3.0,141.0,113.0,5.0,0.0,0.0,0.0,6.56,80.14,0.0,0.0,0.328,0.049
1103488,Rafik Belghali,4691,Algeria,4,4,4,333.0,1.0,0.0,0.1437,0.4112116,3.0,1.0,165.0,155.0,7.0,1.0,0.0,0.0,6.58,93.94,0.27,0.0,0.039,0.111
368120,Nabil Bentaleb,4691,Algeria,4,4,3,288.0,0.0,0.0,0.0223,0.1620166,1.0,0.0,282.0,258.0,8.0,4.0,0.0,0.0,6.94,91.49,0.0,0.0,0.007,0.051
931278,Rayan Aït-Nouri,4691,Algeria,4,4,3,284.0,0.0,0.0,0.0555,0.1203935,1.0,0.0,185.0,162.0,16.0,5.0,0.0,0.0,6.57,87.57,0.0,0.0,0.018,0.038
802133,Luca Zidane,4691,Algeria,4,3,3,270.0,0.0,0.0,0.0,0.00028335,0.0,0.0,88.0,76.0,0.0,0.0,8.0,-1.8693,6.5,86.36,0.0,0.0,0.0,0.0
158213,Riyad Mahrez,4691,Algeria,4,4,3,263.0,2.0,1.0,1.3337999999999999,0.5154878,6.0,3.0,132.0,116.0,4.0,1.0,0.0,0.0,7.51,87.88,0.684,0.342,0.456,0.176
859026,Amine Gouiri,4691,Algeria,4,4,3,253.0,1.0,0.0,0.491,0.06020234,3.0,2.0,56.0,51.0,1.0,0.0,0.0,0.0,6.77,91.07,0.356,0.0,0.175,0.021
846081,Houssem Aouar,4691,Algeria,4,3,2,173.0,0.0,2.0,0.4287,0.4858587,3.0,1.0,84.0,76.0,2.0,0.0,0.0,0.0,6.97,90.48,0.0,1.04,0.223,0.253
985923,Hicham Boudaoui,4691,Algeria,4,3,2,128.0,0.0,0.0,0.0,0.49643224,0.0,0.0,87.0,83.0,4.0,2.0,0.0,0.0,6.71,95.4,0.0,0.0,0.0,0.349
1049534,Jaouen Hadjam,4691,Algeria,4,3,1,116.0,0.0,0.0,0.0292,0.0336598,1.0,0.0,57.0,45.0,3.0,2.0,0.0,0.0,6.68,78.95,0.0,0.0,0.023,0.026
989882,Ramiz Zerrouki,4691,Algeria,4,3,2,111.0,0.0,0.0,0.0,0.03197493,0.0,0.0,106.0,96.0,1.0,3.0,0.0,0.0,6.34,90.57,0.0,0.0,0.0,0.026
1218066,Anis Hadj Moussa,4691,Algeria,4,3,1,97.0,0.0,0.0,0.1814,0.1521395,2.0,0.0,34.0,27.0,1.0,1.0,0.0,0.0,6.51,79.41,0.0,0.0,0.168,0.141
1007589,Oussama Benbot,4691,Algeria,4,1,1,90.0,0.0,0.0,0.0,0.00033489,0.0,0.0,23.0,16.0,0.0,0.0,0.0,-1.6843,5.2,69.57,0.0,0.0,0.0,0.0
1177807,Ahmed Nadhir Benbouali,4691,Algeria,3,1,0,45.0,1.0,0.0,0.1208,0.00343478,2.0,2.0,9.0,6.0,1.0,0.0,0.0,0.0,7.6,66.67,2.0,0.0,0.242,0.007
1018822,Zineddine Belaid,4691,Algeria,4,2,0,31.0,0.0,0.0,0.0,0.13784664,0.0,0.0,44.0,43.0,1.0,0.0,0.0,0.0,6.69,97.73,0.0,0.0,0.0,0.4
1107591,Mohamed Amoura,4691,Algeria,1,1,0,26.0,0.0,0.0,0.0,0.08,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.4,100.0,0.0,0.0,0.0,0.277
981168,Samir Sophian Chergui,4691,Algeria,4,1,0,19.0,0.0,0.0,0.0,0.00353309,0.0,0.0,24.0,22.0,0.0,0.0,0.0,0.0,6.2,91.67,0.0,0.0,0.0,0.017
