player_id,player_name,team_id,team_name,matches_with_heatmap,heatmap_point_count,weighted_point_count,minutes_with_heatmap,weighted_mean_x,weighted_mean_y,weighted_std_x,weighted_std_y,spatial_spread,heatmap_entropy,occupied_cell_count,occupied_cell_share,peak_cell_x,peak_cell_y,peak_cell_share,grid_x,grid_y,gaussian_sigma,left_wide_share,left_half_space_share,central_share,right_half_space_share,right_wide_share,build_up_share,middle_third_share,advanced_middle_share,final_third_share,left_share,right_share,central_lane_share
827606,Rodri,4698,Spain,6,770,770.0,537.0,51.12987012987013,51.11038961038961,17.518932726602888,21.568423795980294,27.786865762842822,0.9215082405112465,182,0.6190476190476191,59.523809523809526,67.85714285714286,0.012714922428131104,21,14,1.2,0.10423760116100311,0.27069902420043945,0.20190830528736115,0.3076252341270447,0.11552978307008743,0.07616867870092392,0.3299049735069275,0.5274218916893005,0.06650450825691223,0.37493662536144257,0.4231550171971321,0.20190830528736115
814594,Achraf Hakimi,4778,Morocco,6,672,672.0,570.0,52.873511904761905,16.90922619047619,24.20098902543824,19.248896953462772,30.922611528368858,0.8689301212930479,105,0.35714285714285715,64.28571428571429,10.714285714285714,0.02276156283915043,21,14,1.2,0.6539629697799683,0.24473683536052704,0.0458570197224617,0.031676340848207474,0.023766903206706047,0.13879495859146118,0.2799583375453949,0.41309288144111633,0.1681538224220276,0.8986998051404953,0.05544324405491352,0.0458570197224617
1402913,Pau Cubarsí,4698,Spain,6,650,650.0,540.0,40.567692307692305,33.74153846153846,17.790382948205107,14.87892564677863,23.192243398303535,0.8744646212831949,136,0.46258503401360546,30.952380952380953,32.142857142857146,0.01693985052406788,21,14,1.2,0.2197873294353485,0.4994317293167114,0.18857768177986145,0.08176123350858688,0.010442066937685013,0.1913570910692215,0.438545823097229,0.3480960428714752,0.022001054137945175,0.7192190587520599,0.0922033004462719,0.18857768177986145
117777,Granit Xhaka,4699,Switzerland,6,628,628.0,600.0,48.97452229299363,57.017515923566876,17.989009045187757,22.43244661969104,28.7544623975677,0.9240047191651612,184,0.6258503401360545,64.28571428571429,75.0,0.013788302429020405,21,14,1.2,0.08222801238298416,0.21104459464550018,0.17616677284240723,0.33123430609703064,0.19932638108730316,0.11070704460144043,0.32514697313308716,0.5161704421043396,0.0479755736887455,0.29327260702848434,0.5305606871843338,0.17616677284240723
383560,Manuel Akanji,4699,Switzerland,6,616,616.0,600.0,35.467532467532465,62.842532467532465,18.089933640179243,17.442471567006468,25.129375508991817,0.8915924348362964,154,0.5238095238095238,26.190476190476193,67.85714285714286,0.015494885854423046,21,14,1.2,0.02723112888634205,0.11978832632303238,0.2081547975540161,0.4435577690601349,0.20126795768737793,0.2760707139968872,0.45881977677345276,0.24740976095199585,0.01769973896443844,0.14701945520937443,0.6448257267475128,0.2081547975540161
149734,Aymeric Laporte,4698,Spain,6,609,609.0,539.0,42.297208538587846,67.09031198686371,19.095611358637463,14.970909549636145,24.26459366862571,0.8805184814689039,139,0.47278911564625853,30.952380952380953,67.85714285714286,0.0171031691133976,21,14,1.2,0.012047959491610527,0.06983223557472229,0.1724184900522232,0.5071738958358765,0.23852738738059998,0.17843997478485107,0.42655354738235474,0.3586192727088928,0.03638724982738495,0.08188019506633282,0.7457012832164764,0.1724184900522232
1128530,Neil El Aynaoui,4778,Morocco,6,609,609.0,563.0,43.88505747126437,48.13136288998358,17.7659456359599,22.760460738293023,28.873299038372128,0.9283102807849811,194,0.6598639455782312,30.952380952380953,46.42857142857143,0.011310112662613392,21,14,1.2,0.1391908973455429,0.2812742292881012,0.21791037917137146,0.2464645355939865,0.11515999585390091,0.13450174033641815,0.4432680606842041,0.3880578577518463,0.03417237102985382,0.4204651266336441,0.3616245314478874,0.21791037917137146
994546,Elliot Anderson,4713,England,6,588,588.0,533.0,48.974489795918366,48.89625850340136,19.111141875547645,24.915594649726955,31.400996808012533,0.9382882719877826,203,0.6904761904761905,59.523809523809526,32.142857142857146,0.011362939141690731,21,14,1.2,0.14357209205627441,0.29327043890953064,0.17734313011169434,0.2479584515094757,0.13785593211650848,0.10727444291114807,0.34601953625679016,0.4941757023334503,0.052530307322740555,0.43684253096580505,0.3858143836259842,0.17734313011169434
282229,Nico Elvedi,4699,Switzerland,6,583,583.0,600.0,35.67238421955403,33.77186963979417,18.485190650606057,16.84510498713508,25.009195017370246,0.8839796242239903,137,0.46598639455782315,26.190476190476193,32.142857142857146,0.020228855311870575,21,14,1.2,0.2555117607116699,0.45353442430496216,0.16637994349002838,0.10741928219795227,0.017154576256871223,0.28846094012260437,0.4459344148635864,0.24356788396835327,0.02203677035868168,0.7090461850166321,0.1245738584548235,0.16637994349002838
248331,Brandon Mechele,4717,Belgium,6,548,548.0,570.0,37.943430656934304,51.948905109489054,19.803102239386277,22.133493847472554,29.699400805398266,0.9325341739473102,208,0.7074829931972789,30.952380952380953,53.57142857142857,0.011193033307790756,21,14,1.2,0.1031375378370285,0.25304558873176575,0.2107292115688324,0.29426321387290955,0.1388244777917862,0.24087278544902802,0.4540189802646637,0.26747533679008484,0.03763289749622345,0.35618312656879425,0.43308769166469574,0.2107292115688324
