target_player_id,target_player_name,candidate_player_id,candidate_player_name,position_group,target_matches_with_heatmap,candidate_matches_with_heatmap,target_heatmap_points,candidate_heatmap_points,heatmap_cosine_similarity,occupation_overlap,lateral_profile_similarity,vertical_profile_similarity,peak_zone_similarity,peak_zone_distance,entropy_similarity,heatmap_similarity_score,heatmap_similarity_rank,heatmap_cosine_similarity_pct,occupation_overlap_pct,lateral_profile_similarity_pct,vertical_profile_similarity_pct,peak_zone_similarity_pct,entropy_similarity_pct,heatmap_similarity_score_pct
750,Cristiano Ronaldo,50480,Chris Wood,F,4,3,132,123,0.9482796130699447,0.8305182904050101,0.97563808246423,0.9488166235269161,0.7137901123768736,40.47619047619048,0.9834482108537764,0.9175508513766214,1,94.82796130699447,83.05182904050102,97.563808246423,94.8816623526916,71.37901123768737,98.34482108537765,91.75508513766214
750,Cristiano Ronaldo,944656,Julián Alvarez,F,4,6,132,249,0.8888562601736,0.7930124577853939,0.9140641255071144,0.9427175224270284,0.8447808951142226,21.951296326887828,0.9833434993818768,0.880115006162098,2,88.88562601736,79.30124577853938,91.40641255071144,94.27175224270285,84.47808951142225,98.33434993818769,88.0115006162098
750,Cristiano Ronaldo,1172477,Tani Oluwaseyi,F,4,5,132,148,0.9099794636220474,0.7803387317878842,0.9014242240962551,0.8666010580498058,0.7137901123768736,40.47619047619048,0.9941227488375204,0.8732556494439264,3,90.99794636220474,78.03387317878841,90.14242240962551,86.66010580498057,71.37901123768737,99.41227488375203,87.32556494439264
750,Cristiano Ronaldo,1144687,Nestory Irankunda,F,4,4,132,117,0.8861336753619139,0.7792427839573148,0.9457264303677028,0.9232131909298055,0.7280081033620032,38.46546290810361,0.9851286223086456,0.8714661928857033,4,88.61336753619139,77.92427839573148,94.57264303677027,92.32131909298054,72.80081033620031,98.51286223086456,87.14661928857032
750,Cristiano Ronaldo,1407524,Ibrahim Maza,F,4,4,132,246,0.8769109188536841,0.7835525928952233,0.926626564165554,0.9128544645114549,0.8484771183171684,21.42857142857143,0.9892767323625038,0.871001773407571,5,87.69109188536841,78.35525928952232,92.6626564165554,91.28544645114549,84.84771183171685,98.92767323625039,87.1001773407571
750,Cristiano Ronaldo,823622,Mikel Oyarzabal,F,4,6,132,229,0.8875005452919813,0.7768965824340354,0.9138925273157494,0.9408793635111977,0.7137901123768736,40.47619047619048,0.9985895021400976,0.8702257589413409,6,88.75005452919812,77.68965824340354,91.38925273157494,94.08793635111977,71.37901123768737,99.85895021400975,87.02257589413409
750,Cristiano Ronaldo,135666,Leandro Trossard,F,4,6,132,363,0.877460614949495,0.7664167171917926,0.8742971824919461,0.9239538970797125,0.9494923727723894,7.142857142857153,0.9675744081184434,0.8676920979148135,7,87.7460614949495,76.64167171917926,87.42971824919461,92.39538970797125,94.94923727723894,96.75744081184435,86.76920979148134
750,Cristiano Ronaldo,859026,Amine Gouiri,F,4,4,132,98,0.8762325435922881,0.7477596600665802,0.8587562367252535,0.9435033010905617,0.9494923727723894,7.142857142857153,0.9897477096056404,0.864856161709943,8,87.62325435922881,74.77596600665802,85.87562367252535,94.35033010905617,94.94923727723894,98.97477096056404,86.48561617099429
750,Cristiano Ronaldo,878081,Ermedin Demirović,F,4,4,132,140,0.8824465313537599,0.774139559596795,0.9282940901360235,0.8645116866408225,0.7979694910895578,28.571428571428584,0.9782241109274921,0.8641414353747762,9,88.244653135376,77.4139559596795,92.82940901360234,86.45116866408225,79.79694910895579,97.8224110927492,86.41414353747761
750,Cristiano Ronaldo,106456,Enner Valencia,F,4,4,132,114,0.877554723144106,0.7750297313587511,0.9361491479470189,0.9328060458566687,0.6683717076860923,46.899322865695744,0.99773163759424,0.8639839944881886,10,87.7554723144106,77.50297313587511,93.61491479470189,93.28060458566686,66.83717076860923,99.773163759424,86.39839944881886
8959,Manuel Neuer,754330,Uğurcan Çakır,G,4,3,192,134,0.9871109707644475,0.8963814443028235,0.9355878054855215,0.9674256779930037,1.0,0.0,0.9917774777942423,0.9627219964803532,1,98.71109707644476,89.63814443028235,93.55878054855215,96.74256779930037,100.0,99.17774777942424,96.27219964803531
8959,Manuel Neuer,155736,Maxime Crépeau,G,4,5,192,187,0.9880412657045842,0.9029781365624104,0.9520351013922361,0.9642583216658347,0.9494923727723895,7.142857142857139,0.9792504885875556,0.9626827455385785,2,98.80412657045842,90.29781365624105,95.20351013922361,96.42583216658348,94.94923727723895,97.92504885875556,96.26827455385785
8959,Manuel Neuer,138530,Jordan Pickford,G,4,6,192,326,0.9795241442243702,0.8830354050568832,0.9265019985288384,0.9753995704333085,0.9663282485149263,4.761904761904761,0.9866709081471211,0.9542092678528787,3,97.95241442243702,88.30354050568832,92.65019985288384,97.53995704333084,96.63282485149263,98.66709081471211,95.42092678528788
8959,Manuel Neuer,797291,Unai Simón,G,4,6,192,326,0.9887845198481598,0.8862091152159284,0.9489616215786412,0.9035197459217137,0.9494923727723895,7.142857142857139,0.9688176162772896,0.952797719169785,4,98.87845198481598,88.62091152159283,94.89616215786411,90.35197459217137,94.94923727723895,96.88176162772896,95.27977191697849
8959,Manuel Neuer,325061,Nikola Vasilj,G,4,4,192,216,0.9890975355446693,0.8828351175477611,0.9517204723624255,0.9040827827892528,0.939297386742943,8.584645893961875,0.9295397361568807,0.9501379729420458,5,98.90975355446693,88.28351175477611,95.17204723624255,90.40827827892528,93.9297386742943,92.95397361568807,95.01379729420458
8959,Manuel Neuer,539792,Ronwen Williams,G,4,4,192,287,0.9831731787727355,0.8702798501642333,0.9094123430875318,0.950594714756598,0.9663282485149263,4.761904761904761,0.9650258351317113,0.9482109693859594,6,98.31731787727355,87.02798501642333,90.94123430875318,95.05947147565979,96.63282485149263,96.50258351317113,94.82109693859594
8959,Manuel Neuer,37224,Johny Placide,G,4,3,192,146,0.9841186457898521,0.8651081984175157,0.9260000870749371,0.9156130429358613,0.9663282485149263,4.761904761904761,0.9886321374203523,0.9469902948762731,7,98.4118645789852,86.51081984175157,92.60000870749371,91.56130429358613,96.63282485149263,98.86321374203523,94.6990294876273
8959,Manuel Neuer,978728,Jacob Widell Zetterström,G,4,2,192,118,0.9741137622222725,0.8677445006326088,0.9674869604119812,0.9173823511820894,0.9663282485149263,4.761904761904761,0.9817246178560538,0.9464953557156142,8,97.41137622222725,86.77445006326087,96.74869604119813,91.73823511820895,96.63282485149263,98.17246178560538,94.64953557156142
